Embedding,Isolated labels,KMeans NMI,KMeans ARI,Silhouette label,cLISI,BRAS,iLISI,KBET,Graph connectivity,PCR comparison,Batch correction,Bio conservation,Total
model_emb,0.43410802,0.13856812102643454,0.07236567500408767,0.4350098967552185,0.8576254844665527,0.6995747,0.24743366241455078,0.1276487043349529,0.5464816090935589,0.9403486471799459,0.5122974663923214,0.3875354392254831,0.43744025009221843
X_pca,0.600084,0.680803646460865,0.5786224366720749,0.5982153937220573,0.9999999816601093,0.4961081,0.0,0.00017001020061203673,0.8980093932455241,0.0,0.2788575036331054,0.6915450930602907,0.5264700572894165
random,0.4973087,0.0009534496306578343,-8.798252683959891e-05,0.4970975602045655,0.6053616450383112,0.99311465,0.8588311672210693,0.9397541850235662,0.09139751217170188,0.999878654324508,0.7765952337980652,0.3201266747246948,0.502714098354043
Metric Type,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score
