Embedding,Isolated labels,KMeans NMI,KMeans ARI,Silhouette label,cLISI,BRAS,iLISI,KBET,Graph connectivity,PCR comparison,Batch correction,Bio conservation,Total
model_emb,0.5227506,0.5020648638350949,0.3213534984893707,0.52482194,0.9992667,0.6601052,0.0,0.0,0.8786023819992119,0.5828821389497923,0.42431794987461535,0.5740515232086182,0.514158093875017
X_pca,0.60008407,0.680803646460865,0.5786224366720749,0.5982154,1.0,0.49610788,0.0,0.00017001020061203673,0.8979366800747449,0.0,0.27884291331523375,0.6915451049804687,0.5264642283143748
random,0.49730876,0.0009696625694210271,-0.00010909425698259617,0.49709755,0.60526454,0.99311465,0.8589144,0.9271920366153519,0.09149380240715102,0.9998787033877958,0.7741187255139201,0.32010626792907715,0.5017112509630144
Metric Type,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score
