Embedding,Isolated labels,KMeans NMI,KMeans ARI,Silhouette label,cLISI,BRAS,iLISI,KBET,Graph connectivity,PCR comparison,Batch correction,Bio conservation,Total
model_emb,0.49158356,0.3631124566395728,0.2411941990563503,0.49190227780491114,0.9573431198413556,0.6683464,1.1920928955078125e-07,0.00127942681678608,0.7965411468808918,0.5528254825898188,0.4037985161052166,0.5090271218558007,0.46693567955556703
X_pca,0.60008407,0.680803646460865,0.5786224366720749,0.5982153937220573,0.9999999816601093,0.496108,0.0,0.00017001020061203673,0.8980093932455241,0.0,0.2788574797912475,0.6915451049812196,0.5264700549052307
random,0.49730876,0.0011010843320510212,-3.7370817410039954e-05,0.4970975602045655,0.6053425715519831,0.99311465,0.8588120937347412,0.9355924916858755,0.09139751217170188,0.9998788095159249,0.775759111471545,0.3201625212305227,0.5024011573269316
Metric Type,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score
