Embedding,Isolated labels,KMeans NMI,KMeans ARI,Silhouette label,cLISI,BRAS,iLISI,KBET,Graph connectivity,PCR comparison,Batch correction,Bio conservation,Total
model_emb,0.5200221,0.5025061036417632,0.3265353454238679,0.52264374,0.99908,0.66916513,1.1920929e-07,0.0019506222477171542,0.893239986122422,0.6296010779749617,0.4387913879968644,0.574157428741455,0.5200110124436188
X_pca,0.6000841,0.680803646460865,0.5786224366720749,0.5982154,1.0,0.49610817,0.0,0.00017001020061203673,0.8979366800747449,0.0,0.27884297291987853,0.6915451526641846,0.5264642807664621
random,0.49730876,0.0009696625694210271,-0.00010909425698259617,0.49709755,0.60526454,0.99311465,0.8589144,0.9271920366153519,0.09149380240715102,0.9998788960637564,0.7741187640491123,0.32010626792907715,0.5017112663770912
Metric Type,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score
