Embedding,Isolated labels,KMeans NMI,KMeans ARI,Silhouette label,cLISI,BRAS,iLISI,KBET,Graph connectivity,PCR comparison,Batch correction,Bio conservation,Total
model_emb,0.47346517,0.2912065164226064,0.16503633472568424,0.47705852799117565,0.9536323088866013,0.69530565,1.1920928955078125e-07,0.00196718242216685,0.7230878675187994,0.6776939313542576,0.4196109491940728,0.47207977249252736,0.45109224317314556
X_pca,0.60008407,0.680803646460865,0.5786224366720749,0.5982153937220573,0.9999999816601093,0.496108,0.0,0.00017001020061203673,0.8980093932455241,0.0,0.2788574797912475,0.6915451049812196,0.5264700549052307
random,0.49730876,0.0011010843320510212,-3.7370817410039954e-05,0.4970975602045655,0.6053425715519831,0.99311465,0.8588120937347412,0.9355924916858755,0.09139751217170188,0.9998788095159249,0.775759111471545,0.3201625212305227,0.5024011573269316
Metric Type,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score
